EmpID,Age,AgeGroup,Attrition,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MonthlyIncome,SalarySlab,NumCompaniesWorked,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,AttritionRate
130,39,36-45,No,Sales,20,5,Medical,Female,Sales Executive,3,16523,15k+,2,No,39,19,18,
131,50,46-55,No,Research & Development,10,4,Life Sciences,Female,Research Director,3,18443,15k+,1,No,37,19,0,
132,34,26-35,No,Human Resources,2,5,Technical Degree,Male,Manager,4,19955,15k+,2,Yes,2,36,3,
133,46,46-55,Yes,Sales,23,2,Technical Degree,Female,Sales Executive,1,11279,10k-15k,2,Yes,35,20,15,
134,38,36-45,No,Human Resources,11,5,Marketing,Female,Manager,4,6674,5k-10k,3,Yes,17,29,9,
135,36,36-45,No,Sales,12,5,Other,Female,Sales Representative,3,7792,5k-10k,1,No,25,22,4,
136,36,36-45,No,Research & Development,21,3,Other,Female,Research Scientist,2,3589,Upto 5k,3,No,35,17,4,
137,55,46-55,Yes,Sales,29,5,Medical,Male,Manager,1,8840,5k-10k,1,No,21,15,3,
138,18,18-25,No,Human Resources,29,4,Technical Degree,Male,Human Resources,3,19033,15k+,5,No,3,5,18,
139,20,18-25,No,Sales,6,1,Technical Degree,Female,Manager,2,6736,5k-10k,4,Yes,0,19,18,
140,39,36-45,No,Human Resources,18,5,Technical Degree,Male,Human Resources,4,10324,10k-15k,4,Yes,7,21,5,
141,59,55+,Yes,Human Resources,11,3,Human Resources,Male,Manager,2,9430,5k-10k,9,No,27,11,10,
142,60,55+,No,Sales,16,3,Medical,Male,Sales Representative,3,4125,Upto 5k,6,Yes,28,11,10,
143,54,46-55,No,Research & Development,23,2,Life Sciences,Male,Research Director,4,1374,Upto 5k,4,Yes,25,16,9,
144,58,55+,No,Human Resources,8,2,Technical Degree,Male,Human Resources,4,10667,10k-15k,9,No,26,23,15,
145,33,26-35,No,Human Resources,23,3,Life Sciences,Male,Human Resources,1,3682,Upto 5k,8,Yes,36,33,4,
146,51,46-55,No,Sales,23,5,Technical Degree,Male,Sales Representative,4,15478,15k+,0,No,8,7,13,
147,21,18-25,No,Research & Development,10,1,Technical Degree,Female,Research Director,1,19310,15k+,3,Yes,2,27,11,
148,52,46-55,No,Human Resources,16,1,Marketing,Female,Human Resources,2,2974,Upto 5k,2,No,23,4,14,
149,23,18-25,No,Research & Development,12,1,Medical,Female,Manufacturing Director,2,18671,15k+,3,Yes,1,8,14,
150,52,46-55,No,Human Resources,12,2,Marketing,Male,Manager,1,13428,10k-15k,0,No,39,1,7,
151,24,18-25,No,Sales,23,1,Medical,Male,Sales Executive,4,2100,Upto 5k,7,Yes,34,13,1,
152,36,36-45,No,Sales,20,3,Medical,Female,Manager,2,8673,5k-10k,8,Yes,26,19,8,
153,55,46-55,No,Sales,18,4,Life Sciences,Female,Manager,4,6738,5k-10k,8,No,26,26,4,
154,29,26-35,No,Research & Development,8,3,Other,Male,Manufacturing Director,4,18626,15k+,0,No,26,30,16,
155,33,26-35,No,Sales,3,4,Marketing,Male,Sales Representative,2,9355,5k-10k,0,No,24,13,1,
156,55,46-55,No,Sales,28,3,Marketing,Male,Sales Executive,2,19312,15k+,3,Yes,30,13,6,
157,53,46-55,No,Research & Development,18,3,Marketing,Female,Laboratory Technician,3,11538,10k-15k,8,No,29,6,15,
158,41,36-45,Yes,Research & Development,28,2,Other,Male,Laboratory Technician,1,11253,10k-15k,4,No,18,9,6,
159,42,36-45,No,Research & Development,21,3,Marketing,Female,Laboratory Technician,4,19670,15k+,7,Yes,22,10,4,
160,29,26-35,No,Human Resources,27,1,Other,Male,Manager,1,18764,15k+,6,Yes,40,3,2,
161,18,18-25,No,Human Resources,2,5,Other,Female,Human Resources,4,8167,5k-10k,0,Yes,34,32,13,
162,51,46-55,No,Sales,1,5,Other,Female,Sales Executive,2,10002,10k-15k,1,Yes,33,9,7,
163,51,46-55,No,Sales,13,1,Marketing,Female,Manager,4,9271,5k-10k,9,Yes,14,19,2,
164,23,18-25,No,Human Resources,16,1,Other,Male,Human Resources,2,14280,10k-15k,1,No,27,21,18,
165,20,18-25,No,Sales,23,5,Technical Degree,Female,Manager,1,8528,5k-10k,1,No,34,13,1,
166,19,18-25,Yes,Sales,27,4,Life Sciences,Female,Sales Representative,2,7788,5k-10k,9,Yes,36,24,17,
167,26,26-35,No,Research & Development,12,1,Life Sciences,Female,Manufacturing Director,2,3569,Upto 5k,1,No,38,32,12,
168,58,55+,No,Research & Development,12,5,Technical Degree,Female,Research Scientist,2,9956,5k-10k,9,No,5,28,9,
169,22,18-25,Yes,Sales,23,2,Other,Female,Manager,3,3688,Upto 5k,5,Yes,5,0,9,
170,35,26-35,Yes,Research & Development,14,4,Human Resources,Female,Healthcare Representative,1,4349,Upto 5k,0,Yes,22,8,2,
171,42,36-45,No,Human Resources,25,1,Other,Male,Manager,2,1404,Upto 5k,6,Yes,8,17,9,
172,27,26-35,No,Research & Development,14,3,Technical Degree,Male,Manufacturing Director,3,3073,Upto 5k,4,Yes,40,10,6,
173,26,26-35,No,Research & Development,11,5,Technical Degree,Female,Research Scientist,4,10983,10k-15k,5,No,38,0,9,
174,30,26-35,No,Research & Development,13,3,Marketing,Female,Research Director,2,16696,15k+,5,No,17,20,11,
175,30,26-35,No,Sales,18,1,Other,Female,Manager,2,18879,15k+,7,No,4,11,15,
176,37,36-45,No,Sales,23,4,Technical Degree,Male,Manager,4,8930,5k-10k,9,No,37,16,17,
177,52,46-55,No,Human Resources,26,5,Human Resources,Male,Manager,1,2204,Upto 5k,3,No,10,23,1,
178,39,36-45,Yes,Human Resources,9,2,Human Resources,Male,Manager,4,15105,15k+,5,No,29,6,16,
179,19,18-25,No,Sales,3,1,Other,Male,Sales Representative,3,16819,15k+,4,No,29,6,16,
180,48,46-55,No,Research & Development,15,3,Life Sciences,Female,Healthcare Representative,1,4198,Upto 5k,1,Yes,21,6,5,
181,51,46-55,No,Human Resources,18,4,Technical Degree,Male,Human Resources,4,6716,5k-10k,2,Yes,40,27,12,
182,57,55+,No,Sales,13,1,Other,Male,Manager,2,7465,5k-10k,4,Yes,36,6,17,
183,38,36-45,Yes,Sales,22,4,Human Resources,Female,Sales Representative,4,7457,5k-10k,9,No,37,7,11,
184,57,55+,No,Research & Development,19,1,Other,Male,Manufacturing Director,3,6653,5k-10k,1,Yes,19,7,5,
185,50,46-55,No,Research & Development,19,4,Technical Degree,Male,Laboratory Technician,4,13729,10k-15k,8,Yes,35,10,15,
186,29,26-35,No,Research & Development,28,3,Life Sciences,Female,Laboratory Technician,2,11308,10k-15k,3,No,35,28,15,
187,44,36-45,No,Research & Development,19,1,Medical,Female,Manufacturing Director,1,15544,15k+,4,Yes,34,18,5,
188,49,46-55,Yes,Research & Development,4,3,Human Resources,Female,Research Director,1,19013,15k+,7,Yes,27,6,7,
189,46,46-55,No,Research & Development,3,4,Life Sciences,Male,Research Scientist,2,9611,5k-10k,9,No,39,22,13,
190,26,26-35,No,Sales,19,3,Human Resources,Female,Manager,2,7770,5k-10k,5,No,18,13,8,
191,26,26-35,No,Human Resources,28,2,Other,Male,Human Resources,2,14487,10k-15k,2,No,15,3,15,
192,58,55+,No,Sales,15,1,Other,Male,Manager,4,9805,5k-10k,8,No,23,29,15,
193,18,18-25,No,Research & Development,23,3,Life Sciences,Female,Research Director,2,4052,Upto 5k,6,Yes,31,17,10,
194,53,46-55,No,Research & Development,16,3,Other,Male,Healthcare Representative,1,19937,15k+,1,No,1,7,5,
195,18,18-25,No,Research & Development,5,3,Medical,Female,Manufacturing Director,1,15018,15k+,5,No,5,12,5,
196,58,55+,No,Sales,3,1,Life Sciences,Male,Sales Representative,4,11010,10k-15k,1,Yes,37,14,16,
197,18,18-25,No,Human Resources,28,4,Other,Male,Manager,4,1264,Upto 5k,1,Yes,24,5,3,
198,41,36-45,No,Sales,27,2,Other,Male,Sales Representative,1,10805,10k-15k,8,Yes,39,8,14,
199,58,55+,No,Research & Development,15,2,Life Sciences,Male,Laboratory Technician,2,5960,5k-10k,1,No,22,26,10,
200,35,26-35,No,Sales,20,5,Marketing,Male,Sales Executive,3,3760,Upto 5k,3,Yes,25,15,1,
201,42,36-45,No,Sales,20,1,Human Resources,Male,Sales Representative,3,4694,Upto 5k,5,Yes,24,15,13,
202,29,26-35,Yes,Research & Development,3,1,Marketing,Male,Research Director,1,16434,15k+,0,No,32,4,16,
203,43,36-45,No,Research & Development,20,2,Marketing,Male,Manufacturing Director,3,3700,Upto 5k,1,Yes,9,34,10,
204,58,55+,No,Research & Development,24,2,Life Sciences,Male,Research Director,1,3166,Upto 5k,6,Yes,29,19,1,
205,25,18-25,No,Research & Development,6,4,Marketing,Female,Laboratory Technician,2,1415,Upto 5k,5,Yes,17,7,0,
206,35,26-35,No,Research & Development,19,1,Technical Degree,Female,Manufacturing Director,3,18165,15k+,0,No,36,4,11,
207,24,18-25,Yes,Sales,17,1,Life Sciences,Male,Sales Representative,2,19805,15k+,0,No,23,7,4,
208,53,46-55,No,Sales,14,3,Marketing,Male,Sales Executive,3,14741,10k-15k,1,Yes,11,14,16,
209,22,18-25,No,Sales,10,3,Life Sciences,Female,Sales Representative,1,16240,15k+,5,Yes,18,18,9,
210,47,46-55,No,Human Resources,25,2,Other,Male,Human Resources,2,13067,10k-15k,0,No,1,14,17,
211,39,36-45,No,Research & Development,24,3,Life Sciences,Male,Research Scientist,2,1047,Upto 5k,6,No,3,9,8,
212,32,26-35,No,Sales,12,4,Other,Male,Sales Executive,1,18031,15k+,8,Yes,40,25,2,
213,45,36-45,No,Human Resources,28,3,Technical Degree,Female,Human Resources,3,5283,5k-10k,7,No,14,4,6,
214,24,18-25,Yes,Sales,15,3,Technical Degree,Male,Manager,3,6092,5k-10k,3,No,19,6,8,
215,28,26-35,Yes,Sales,27,3,Medical,Male,Sales Executive,2,10968,10k-15k,5,No,32,3,9,
216,19,18-25,No,Research & Development,18,2,Life Sciences,Female,Laboratory Technician,1,14251,10k-15k,2,Yes,0,3,7,
217,43,36-45,No,Sales,3,5,Human Resources,Female,Sales Executive,1,13197,10k-15k,0,Yes,12,28,4,
218,25,18-25,Yes,Sales,19,4,Other,Female,Sales Representative,4,2399,Upto 5k,0,No,27,11,11,
219,35,26-35,No,Sales,2,5,Human Resources,Male,Sales Executive,3,10170,10k-15k,7,No,35,28,1,
220,42,36-45,Yes,Sales,29,5,Medical,Male,Sales Representative,4,5496,5k-10k,5,No,34,26,11,
221,42,36-45,Yes,Human Resources,20,2,Life Sciences,Female,Manager,1,9861,5k-10k,7,No,37,11,5,
222,60,55+,No,Sales,26,1,Medical,Female,Sales Executive,3,8902,5k-10k,2,Yes,15,17,10,
223,55,46-55,No,Human Resources,19,2,Human Resources,Male,Manager,4,1924,Upto 5k,8,No,11,22,1,
224,32,26-35,No,Sales,1,3,Human Resources,Male,Sales Executive,2,8169,5k-10k,5,Yes,20,1,0,
225,27,26-35,No,Sales,3,3,Other,Female,Manager,1,4634,Upto 5k,5,No,20,8,5,
226,58,55+,No,Human Resources,18,5,Marketing,Male,Manager,2,16964,15k+,6,No,18,8,5,
227,54,46-55,Yes,Human Resources,20,3,Human Resources,Male,Human Resources,1,13831,10k-15k,7,Yes,21,4,7,
228,28,26-35,No,Research & Development,11,4,Life Sciences,Female,Healthcare Representative,2,3907,Upto 5k,3,Yes,22,16,3,
229,21,18-25,No,Human Resources,6,4,Technical Degree,Female,Human Resources,3,13646,10k-15k,8,No,6,28,18,
230,28,26-35,No,Human Resources,2,3,Life Sciences,Female,Human Resources,3,15787,15k+,1,Yes,21,4,12,
231,22,18-25,No,Sales,20,4,Other,Male,Manager,4,18925,15k+,2,No,10,3,3,
232,30,26-35,No,Research & Development,24,5,Marketing,Female,Laboratory Technician,3,14411,10k-15k,3,Yes,3,25,18,
233,27,26-35,Yes,Human Resources,3,3,Other,Female,Manager,2,2786,Upto 5k,1,Yes,13,10,9,
234,25,18-25,No,Sales,29,3,Life Sciences,Female,Sales Representative,2,11104,10k-15k,5,No,23,11,14,
235,46,46-55,No,Sales,9,5,Life Sciences,Male,Sales Representative,1,16239,15k+,1,No,34,16,18,
236,21,18-25,No,Sales,18,4,Human Resources,Male,Manager,4,13684,10k-15k,4,Yes,25,2,16,
237,25,18-25,No,Human Resources,6,2,Medical,Male,Human Resources,1,15714,15k+,6,Yes,27,11,4,
238,38,36-45,No,Human Resources,13,5,Marketing,Female,Manager,4,3195,Upto 5k,0,No,7,5,4,
239,55,46-55,No,Sales,4,3,Human Resources,Female,Manager,4,4283,Upto 5k,4,No,31,6,15,
240,35,26-35,No,Sales,22,4,Life Sciences,Female,Sales Executive,3,14204,10k-15k,3,Yes,30,9,11,
241,37,36-45,No,Sales,28,1,Medical,Male,Sales Representative,3,11189,10k-15k,7,No,17,17,2,
242,31,26-35,No,Sales,28,3,Life Sciences,Male,Sales Representative,1,14342,10k-15k,4,No,8,31,18,
