EmpID,Age,Attrition,DistanceFromHome,Education,Gender,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,DepartmentID,EducationFieldID,JobRoleID,AgeGroupID,SalarySlabID
27,31,No,26,4,Female,1,5926,3,No,21,21,3,2,6,2,3,2
28,39,No,22,4,Female,1,14679,2,No,12,12,4,2,1,4,2,3
29,32,No,1,4,Male,1,3891,3,No,8,2,1,2,5,2,3,1
30,23,No,29,2,Male,4,6425,5,Yes,12,11,0,1,2,6,4,2
31,34,No,17,1,Male,2,6683,1,Yes,37,37,9,2,2,4,3,2
32,38,No,17,1,Male,2,4800,9,No,12,4,4,1,5,2,2,1
33,50,No,9,4,Female,2,2259,9,No,16,16,5,1,4,3,1,1
34,28,No,16,4,Female,2,6296,0,No,15,0,0,2,1,6,3,2
35,35,Yes,15,3,Male,4,6574,4,No,19,14,14,2,2,6,3,2
36,26,Yes,9,3,Male,1,1915,9,No,5,0,0,2,2,1,3,1
37,20,No,6,5,Male,3,3178,8,No,7,7,7,2,2,2,4,1
38,32,No,15,5,Female,4,13355,8,Yes,15,1,1,1,2,4,3,3
39,24,No,8,3,Male,1,6511,8,No,5,5,5,3,2,6,4,2
40,38,Yes,10,4,Male,3,4388,2,No,14,0,0,2,2,2,2,1
41,38,No,20,2,Female,3,6315,0,No,7,4,4,2,2,6,2,2
42,27,No,29,3,Female,4,4029,7,Yes,4,4,2,1,2,1,3,1
43,29,No,21,4,Male,2,15645,4,Yes,19,9,2,1,1,9,3,4
44,43,No,4,3,Male,3,8124,7,Yes,11,2,2,2,2,3,2,2
45,40,No,13,2,Male,1,9998,5,No,6,3,3,1,4,3,2,2
46,55,Yes,28,5,Female,1,5709,1,No,12,3,3,2,4,7,1,2
47,44,No,13,3,Male,1,5973,1,Yes,10,5,5,2,2,3,2,2
48,42,No,14,3,Male,1,7065,4,No,10,3,3,2,2,3,2,2
49,40,No,23,1,Female,4,1000,6,Yes,9,6,6,1,2,3,2,1
50,35,No,12,3,Male,3,8735,8,No,18,6,1,2,3,6,3,2
51,48,No,5,5,Male,2,9510,8,No,15,2,2,2,2,3,1,2
52,56,No,6,4,Female,4,5177,1,No,17,1,1,2,2,3,5,2
53,29,No,5,3,Female,2,15631,8,No,14,6,2,1,3,5,3,4
54,37,No,5,3,Female,4,8187,8,No,6,0,0,1,1,6,2,2
55,35,No,23,5,Male,2,5125,3,No,11,11,11,2,1,7,3,2
56,31,No,9,5,Male,3,15300,1,No,15,2,2,2,3,9,3,4
57,54,Yes,18,1,Male,3,5255,2,No,16,4,4,2,1,6,1,2
58,26,No,5,1,Male,2,8430,2,No,8,4,4,2,2,6,3,2
59,18,No,15,2,Male,3,16771,7,No,14,3,3,3,1,9,4,4
60,44,No,23,1,Male,3,17964,7,No,3,1,1,1,1,8,2,4
61,30,No,17,2,Male,1,3510,0,Yes,19,5,5,1,2,2,3,1
62,25,Yes,13,3,Male,3,10591,5,No,8,2,2,2,4,5,4,3
63,26,No,29,2,Female,1,13673,5,Yes,5,2,2,2,3,5,3,3
64,37,No,22,4,Female,2,6254,6,Yes,38,38,9,1,1,3,2,2
65,58,No,15,5,Female,3,3179,3,No,15,15,3,1,2,2,5,1
66,44,No,23,5,Male,2,18940,7,No,18,0,0,2,2,9,2,4
67,55,No,26,2,Male,2,16663,8,Yes,17,17,8,2,2,9,1,4
68,48,Yes,20,2,Female,1,2473,8,No,17,17,12,2,6,1,1,1
69,45,No,2,3,Female,3,5828,5,No,4,1,1,2,2,6,2,2
70,28,No,19,1,Female,1,5033,4,No,11,11,11,2,5,6,3,2
71,56,No,27,2,Female,3,2186,2,Yes,13,13,13,2,1,2,5,1
72,37,No,17,4,Male,4,10582,3,Yes,2,1,1,1,1,5,2,3
73,47,Yes,18,1,Male,2,3061,6,No,14,14,8,2,2,2,1,1
74,53,No,19,2,Male,2,14199,6,No,13,3,3,2,2,8,1,3
75,39,No,25,5,Female,3,11307,7,No,9,9,3,1,5,5,2,3
76,45,Yes,7,3,Male,1,1258,8,No,12,0,0,1,2,2,2,1
77,37,No,17,2,Male,2,7993,0,No,11,11,8,2,2,6,2,2
78,42,No,22,2,Male,4,13130,8,No,13,2,2,2,3,5,2,3
79,33,No,15,2,Male,2,3630,0,No,0,0,0,2,3,2,3,1
80,39,Yes,17,4,Female,2,1945,7,Yes,15,14,12,2,6,2,2,1
81,41,No,22,5,Male,4,15680,1,No,14,3,3,2,2,9,2,4
82,44,Yes,10,2,Female,1,9746,1,No,20,0,0,2,2,6,2,2
83,19,No,1,5,Male,3,16738,8,No,16,0,0,1,2,8,4,4
84,37,No,5,1,Male,2,14236,0,No,17,17,9,2,2,4,2,3
85,44,No,17,4,Female,2,10876,3,No,20,20,11,3,2,4,2,3
86,30,No,18,4,Female,1,8765,0,Yes,13,1,1,2,2,6,3,2
87,41,No,22,2,Male,2,1000,0,No,8,0,0,1,1,6,2,1
88,29,No,19,3,Male,3,5643,5,Yes,11,3,3,3,6,3,3,2
89,22,Yes,21,2,Male,1,10980,6,No,19,0,0,2,1,6,4,3
90,21,No,17,5,Female,4,10297,2,No,20,3,3,1,2,3,4,3
91,60,No,21,2,Male,3,13906,8,No,16,0,0,3,2,5,5,3
92,37,No,28,1,Male,3,19955,3,No,7,7,7,2,1,9,2,4
93,28,Yes,27,2,Female,4,3221,9,No,10,4,4,1,1,3,3,1
94,46,Yes,20,5,Male,2,4214,2,No,18,1,1,1,6,2,1,1
95,56,No,1,3,Female,4,4332,0,No,6,5,5,2,1,1,5,1
96,30,No,11,3,Female,4,5025,0,No,5,4,4,3,3,3,3,2
97,31,Yes,4,3,Male,3,3472,9,No,16,2,2,1,2,1,3,1
98,36,No,21,3,Male,3,9426,4,No,10,3,2,2,2,3,2,2
99,28,No,19,5,Female,3,10328,3,No,11,2,2,1,1,5,3,3
100,33,No,1,3,Male,1,6569,4,No,13,13,0,2,2,3,3,2
101,47,Yes,26,2,Male,2,4603,3,No,17,1,0,1,1,3,1,1
102,52,No,23,4,Male,2,15652,4,No,20,7,7,2,2,8,1,4
103,24,No,3,1,Male,3,19999,3,Yes,18,0,0,1,5,8,4,4
104,29,No,14,4,Female,3,2342,0,No,16,2,2,2,1,1,3,1
105,45,Yes,16,1,Male,2,7975,0,No,10,10,9,3,1,3,2,2
106,39,Yes,20,2,Male,3,5858,0,No,12,0,0,1,2,2,2,2
107,56,No,24,5,Male,4,4145,6,No,17,5,5,2,3,6,5,1
108,45,No,15,4,Male,3,19999,3,No,12,12,4,3,2,9,2,4
109,23,No,1,1,Female,3,4572,7,No,20,1,1,3,1,6,4,1
110,26,No,20,2,Female,1,6709,0,No,2,0,0,2,1,3,3,2
111,44,No,2,1,Male,4,9221,1,No,16,16,1,2,1,6,2,2
112,44,No,15,3,Male,2,16814,0,No,20,0,0,2,2,5,2,4
113,45,No,19,4,Male,4,7977,9,No,5,2,2,2,2,6,2,2
114,26,No,3,3,Female,4,3853,1,No,3,1,1,1,1,3,3,1
115,38,Yes,26,3,Female,3,1000,4,Yes,4,4,4,2,1,3,2,1
116,37,No,28,2,Male,2,13627,2,No,13,10,0,2,1,5,2,3
117,41,No,16,3,Female,3,10878,4,No,14,14,8,2,2,4,2,3
118,28,No,16,2,Male,3,14596,0,Yes,5,4,4,3,2,9,3,3
119,43,No,29,3,Female,4,14495,9,No,4,0,0,1,5,5,2,3
120,60,No,15,2,Male,1,4630,8,No,15,9,9,1,2,2,5,1
121,45,No,6,3,Female,2,14771,3,No,11,1,1,1,2,9,2,3
122,43,No,24,5,Male,4,13107,8,No,19,19,17,3,2,8,2,3
123,34,No,13,1,Female,3,3492,7,No,2,0,0,2,2,6,3,1
124,24,No,13,5,Male,3,5421,6,No,9,0,0,1,4,6,4,2
125,25,No,23,4,Male,2,10892,0,No,1,1,1,1,6,5,4,3
126,30,No,27,1,Female,1,1000,0,Yes,20,0,0,2,2,1,3,1
127,51,No,5,1,Female,4,2867,8,No,18,7,7,1,2,7,1,1
128,50,No,13,5,Male,3,16459,7,No,10,10,9,1,2,8,1,4
129,44,Yes,7,2,Female,3,5123,0,No,7,3,0,2,2,3,2,2
130,27,No,3,4,Male,3,18444,0,No,18,8,8,2,3,9,3,4
131,20,No,27,4,Male,2,2319,6,Yes,34,34,3,1,2,3,4,1
132,45,Yes,13,4,Female,3,10407,5,No,4,0,0,1,2,6,2,3
133,26,No,8,5,Male,4,14593,1,Yes,15,4,4,2,1,8,3,3
134,45,No,22,4,Female,3,4658,7,No,3,3,3,1,2,2,2,1
135,55,No,24,4,Male,3,4264,4,Yes,18,7,7,2,2,7,1,1
136,31,No,2,2,Female,3,18098,0,Yes,11,1,1,2,2,8,3,4
137,28,No,18,4,Female,3,7562,7,No,19,19,6,2,1,2,3,2
138,42,No,25,5,Male,3,8923,6,No,1,1,1,1,2,6,2,2
139,43,No,6,4,Male,4,18405,8,No,14,3,3,2,4,9,2,4
140,25,No,13,5,Male,2,5514,4,No,18,3,0,2,1,2,4,2
141,36,No,23,1,Male,3,6338,6,Yes,15,0,0,1,5,2,2,2
142,43,Yes,5,4,Male,4,3848,1,Yes,2,2,2,2,3,6,2,1
143,36,No,29,3,Female,3,2052,1,No,6,1,1,2,1,6,2,1
144,29,No,3,3,Female,3,11872,8,No,15,3,3,2,1,5,3,3
145,44,No,14,1,Female,2,19235,2,No,14,14,10,1,1,5,2,4
146,26,No,19,2,Female,3,7587,6,No,10,10,9,1,1,6,3,2
147,41,No,16,5,Female,2,12944,7,Yes,10,4,4,2,2,4,2,3
148,45,No,28,4,Female,1,18338,9,No,5,5,5,2,4,9,2,4
149,38,No,4,1,Male,3,5220,3,No,10,6,6,2,1,3,2,2
150,55,No,3,3,Male,3,7434,1,No,15,4,4,3,5,3,1,2
151,50,No,7,5,Female,1,4850,5,No,14,7,2,2,2,6,1,1
152,41,No,13,4,Female,3,4694,0,No,15,1,1,2,2,2,2,1
153,51,No,17,1,Female,4,4369,9,Yes,10,3,3,1,1,2,1,1
154,44,No,20,3,Male,3,7619,0,Yes,7,7,7,2,2,3,2,2
155,37,No,13,4,Male,1,4057,7,Yes,10,10,10,3,1,2,2,1
156,42,No,16,2,Male,3,7986,5,No,16,5,5,2,2,6,2,2
157,41,No,29,2,Female,3,1994,3,Yes,14,7,7,1,2,2,2,1
158,38,No,2,4,Female,1,3002,6,Yes,13,13,3,2,2,2,2,1
159,18,Yes,29,5,Male,3,2338,9,No,5,5,5,2,1,2,4,1
160,35,No,7,5,Male,2,13841,0,No,20,0,0,2,5,8,3,3
161,53,No,8,4,Female,2,9259,9,No,2,1,1,2,2,6,1,2
162,38,No,12,3,Male,4,16056,1,No,6,6,1,1,1,5,2,4
163,44,No,18,2,Male,2,1553,0,No,19,7,7,2,2,3,2,1
164,38,No,2,1,Male,4,8691,3,No,3,0,0,1,2,6,2,2
165,53,Yes,12,5,Male,2,1000,9,No,9,9,9,1,3,6,1,1
166,42,No,5,4,Female,3,6386,7,No,10,1,1,1,3,3,2,2
167,47,No,18,2,Male,1,9152,6,No,17,9,9,3,2,5,1,2
168,43,No,3,1,Female,1,8651,7,No,18,8,8,3,4,6,2,2
169,52,No,22,4,Male,2,10082,6,No,19,1,1,2,2,6,1,3
170,20,No,9,2,Male,4,6662,6,No,16,1,1,1,2,3,4,2
171,28,Yes,26,2,Male,1,4094,9,No,16,2,2,1,2,2,3,1
172,32,Yes,19,1,Male,4,2119,6,No,13,13,13,3,2,1,3,1
173,29,No,20,2,Male,4,19296,0,Yes,11,4,4,2,1,5,3,4
174,40,No,10,3,Male,3,1536,8,No,18,18,17,2,4,3,2,1
175,35,No,19,2,Female,4,1000,6,No,18,6,6,1,3,2,3,1
176,38,No,21,3,Male,3,2796,6,No,12,9,3,2,1,1,2,1
177,33,No,22,5,Female,3,18475,3,No,21,21,15,2,1,9,3,4
178,28,No,6,1,Male,1,15588,4,Yes,14,7,7,1,3,9,3,4
179,56,No,3,2,Male,4,3368,1,No,10,0,0,2,2,6,5,1
180,26,Yes,17,1,Male,4,3392,0,No,19,19,18,1,1,1,3,1
181,27,No,25,1,Female,2,14599,7,Yes,10,1,1,2,2,4,3,3
182,42,Yes,21,2,Male,1,13638,7,No,6,0,0,2,1,4,2,3
183,49,No,5,2,Male,2,6602,9,No,15,12,7,2,1,6,1,2
184,48,No,11,3,Male,3,4603,2,No,4,2,2,2,2,2,1,1
185,45,No,7,2,Male,3,8522,3,No,17,17,4,1,2,3,2,2
186,40,No,26,3,Male,4,13537,9,No,20,7,7,1,2,8,2,3
187,20,No,27,3,Male,2,13503,5,No,19,1,1,1,2,8,4,3
188,54,No,21,3,Male,2,3325,4,Yes,17,4,2,2,2,3,1,1
189,28,No,5,3,Female,1,9491,4,No,3,3,2,2,2,6,3,2
190,41,No,18,2,Male,4,16545,3,Yes,15,15,7,1,1,5,2,4
191,38,No,27,2,Male,2,3157,2,Yes,6,1,1,1,1,2,2,1
192,26,No,22,2,Female,2,4506,6,Yes,8,5,3,1,2,3,3,1
193,58,Yes,13,1,Male,3,3602,6,No,6,3,3,2,6,2,5,1
194,35,No,26,2,Male,3,9251,4,No,17,11,3,1,4,3,3,2
195,28,Yes,9,5,Male,3,4368,6,No,14,6,4,2,2,2,3,1
196,45,Yes,19,3,Female,1,4190,2,No,17,1,1,2,5,2,2,1
197,46,Yes,20,1,Male,1,12460,7,Yes,13,1,1,2,3,5,1,3
198,40,Yes,12,5,Female,1,6630,3,No,14,10,5,3,2,3,2,2
199,31,No,24,3,Female,3,2427,0,No,10,3,3,2,3,3,3,1
200,51,No,21,1,Female,3,12410,5,Yes,6,1,1,2,2,5,1,3
201,31,No,12,3,Female,1,19085,8,No,11,11,11,2,2,9,3,4
202,38,No,2,4,Female,2,4194,5,No,16,3,3,1,2,2,2,1
203,45,No,18,3,Female,3,2435,1,No,9,7,7,2,2,2,2,1
204,28,No,18,5,Male,2,3875,7,No,11,5,5,3,5,7,3,1
205,24,No,19,5,Female,4,3410,5,No,18,2,2,1,2,2,4,1
206,21,No,8,3,Male,1,1395,7,No,4,0,0,2,1,6,4,1
207,47,No,5,5,Male,2,7024,1,No,10,10,0,2,4,6,1,2
208,54,No,27,4,Female,2,3764,9,Yes,35,35,10,2,1,2,1,1
209,39,No,15,3,Male,3,11226,9,No,18,1,1,2,1,5,2,3
210,35,Yes,22,3,Male,1,7820,4,Yes,12,12,12,1,2,6,3,2
211,26,Yes,27,5,Male,3,4799,8,No,9,6,6,1,5,6,3,1
212,27,No,14,1,Male,3,3347,1,No,16,4,4,2,5,6,3,1
213,32,No,1,5,Male,1,4477,6,No,7,6,6,1,5,2,3,1
214,33,No,21,3,Male,3,6243,2,Yes,6,6,6,2,2,6,3,2
215,57,No,26,1,Male,1,2829,9,No,14,12,12,2,2,2,5,1
216,32,No,13,3,Male,2,1000,4,Yes,15,15,8,2,4,3,3,1
217,38,No,29,3,Female,4,4541,0,No,3,0,0,2,2,6,2,1
218,38,No,15,2,Male,1,3625,5,Yes,5,2,2,2,2,3,2,1
219,21,No,24,2,Female,2,8823,6,No,15,1,1,2,4,6,4,2
220,57,Yes,12,5,Male,2,7037,4,No,9,2,2,1,2,6,5,2
221,26,No,15,5,Male,3,5716,2,No,8,5,4,2,2,3,3,2
222,59,Yes,4,5,Male,3,9733,3,No,2,2,2,2,6,3,5,2
223,44,No,29,4,Female,4,1000,0,No,13,9,9,1,3,3,2,1
224,53,No,27,5,Male,3,4972,8,Yes,8,0,0,1,5,2,1,1
225,48,Yes,28,1,Female,3,3320,5,Yes,2,2,2,3,3,7,1,1
226,42,No,18,4,Male,4,12330,4,No,17,0,0,2,1,5,2,3
227,32,Yes,2,1,Male,1,4500,8,No,14,9,2,2,1,6,3,1
228,27,No,13,3,Male,4,3024,4,Yes,16,0,0,2,2,2,3,1
229,42,Yes,12,1,Male,3,3644,5,No,11,11,9,1,2,6,2,1
230,26,No,1,2,Male,4,18434,9,No,13,3,3,1,1,5,3,4
231,39,No,3,3,Male,1,13164,1,Yes,11,11,6,2,1,6,2,3
232,48,No,29,1,Female,3,13531,5,No,13,3,2,2,5,5,1,3
233,35,No,27,5,Female,3,6343,4,No,8,5,5,3,2,3,3,2
234,30,Yes,28,2,Male,3,8159,4,Yes,18,3,3,2,2,6,3,2
235,39,No,26,2,Female,3,2488,1,No,5,3,3,2,2,7,2,1
236,43,No,10,3,Male,1,4997,5,Yes,17,4,4,1,4,3,2,1
237,44,No,19,4,Female,1,12402,0,No,4,1,1,2,1,3,2,3
238,46,No,22,2,Female,4,15407,2,No,4,1,1,1,2,5,1,4
239,58,Yes,10,1,Male,3,3049,9,No,11,1,1,3,4,2,5,1
240,26,No,10,1,Male,3,14397,0,Yes,5,5,5,2,4,9,3,3
241,48,No,28,2,Female,1,2822,9,No,7,7,7,2,3,1,1,1
242,29,Yes,28,5,Male,4,6540,8,No,20,0,0,3,2,7,3,2
243,32,No,20,2,Male,4,4920,7,No,7,7,7,2,3,6,3,1
244,29,No,11,5,Female,2,1516,4,No,3,3,3,2,1,2,3,1
245,46,No,3,5,Female,3,11100,2,No,18,4,1,1,4,5,1,3
246,35,No,28,3,Male,4,12709,5,No,3,1,1,1,1,5,3,3
247,41,No,28,1,Male,3,2305,3,Yes,20,0,0,2,4,3,2,1
248,58,No,15,5,Male,1,3398,6,No,11,1,1,1,1,3,5,1
249,57,No,26,5,Female,2,8700,2,No,20,0,0,2,5,6,5,2
250,28,No,5,1,Male,4,10828,5,No,19,0,0,1,2,5,3,3
251,44,No,12,4,Female,3,6500,6,No,13,1,1,2,1,6,2,2
252,43,No,8,2,Male,4,11693,6,No,13,3,3,1,1,5,2,3
253,29,No,16,3,Female,1,8541,6,Yes,8,8,8,1,1,5,3,2
254,40,Yes,16,3,Male,4,9107,5,No,20,7,7,2,2,6,2,2
255,32,Yes,23,5,Female,3,19999,4,No,20,17,16,2,1,9,3,4
256,52,No,29,1,Female,2,2528,1,Yes,17,2,2,2,4,2,1,1
257,59,No,22,5,Male,3,5487,6,Yes,11,0,0,3,1,3,5,2
258,29,Yes,28,1,Male,1,8112,6,Yes,7,1,1,2,2,6,3,2
259,40,No,3,5,Female,3,10846,1,Yes,10,6,6,3,2,5,2,3
260,55,No,13,1,Female,1,6563,9,No,2,2,2,2,1,7,1,2
261,35,No,24,4,Male,3,6470,1,Yes,11,7,6,3,2,3,3,2
262,48,Yes,1,5,Female,3,15887,6,No,4,4,4,2,2,5,1,4
263,44,Yes,6,2,Female,4,3307,1,No,7,6,6,2,2,1,2,1
264,45,No,17,1,Male,4,1000,0,No,11,0,0,2,2,6,2,1
265,32,No,26,1,Male,3,3680,6,No,10,4,4,1,2,2,3,1
266,32,Yes,6,2,Male,3,6884,3,Yes,7,7,7,1,2,6,3,2
267,46,No,23,5,Male,4,13943,6,Yes,4,0,0,2,4,4,1,3
268,40,No,29,2,Male,2,10941,6,No,5,5,1,3,1,5,2,3
269,41,No,27,1,Male,3,9403,9,No,16,11,8,2,2,6,2,2
270,48,Yes,17,4,Male,4,7696,0,No,19,5,0,2,2,6,1,2
271,31,No,11,1,Female,3,4213,8,No,9,6,6,3,1,4,3,1
272,29,No,19,4,Male,3,16835,1,No,2,2,0,1,2,8,3,4
273,28,Yes,21,5,Female,3,8461,0,No,19,5,4,1,1,3,3,2
274,45,No,15,2,Male,1,7739,5,No,16,1,1,2,2,3,2,2
275,33,Yes,1,1,Female,2,5510,5,Yes,2,2,2,1,1,1,3,2
276,47,No,28,4,Female,2,4840,3,Yes,6,6,3,2,3,3,1,1
277,30,No,26,3,Male,1,11505,8,Yes,9,0,0,1,1,5,3,3
278,52,No,12,2,Male,3,7908,0,Yes,7,5,5,2,1,3,1,2
279,22,No,4,2,Female,1,2501,1,No,15,3,3,1,4,1,4,1
280,35,No,17,5,Male,1,1542,1,No,13,2,2,1,2,6,3,1
281,54,No,13,4,Male,3,4916,8,No,16,3,3,1,3,6,1,1
282,44,No,2,4,Male,1,10559,6,Yes,6,6,6,2,1,6,2,3
283,26,No,5,1,Male,2,13843,5,No,18,8,8,2,2,8,3,3
284,46,No,21,1,Male,1,1000,3,No,5,5,1,1,1,2,1,1
285,48,Yes,2,1,Male,2,5561,0,No,12,7,7,2,1,2,1,2
286,35,No,1,3,Male,3,7579,7,No,18,4,4,2,2,6,3,2
287,48,No,1,5,Male,3,13778,9,No,19,3,3,2,1,9,1,3
288,52,No,20,2,Female,2,3990,0,No,17,8,8,2,4,2,1,1
289,28,No,18,5,Female,3,13602,7,No,7,1,1,3,1,6,3,3
290,60,No,10,4,Male,1,11866,1,Yes,10,10,3,2,1,5,5,3
291,44,No,5,2,Female,4,3413,8,Yes,13,5,5,1,2,2,2,1
292,44,No,10,1,Male,2,12847,7,Yes,20,1,1,2,2,5,2,3
293,40,No,3,5,Female,1,6720,9,No,15,0,0,2,1,3,2,2
294,19,Yes,9,2,Female,1,2356,0,No,8,0,0,2,1,1,4,1
295,41,No,20,2,Male,4,2407,8,No,11,10,10,1,2,2,2,1
296,21,No,7,4,Male,3,3346,7,No,5,5,5,2,2,6,4,1
297,49,No,5,2,Male,3,3503,8,No,9,9,9,2,2,2,1,1
298,35,No,19,5,Male,1,2968,9,No,2,2,2,2,2,3,3,1
299,43,No,12,3,Male,4,4220,8,Yes,3,3,2,2,2,2,2,1
300,36,Yes,24,3,Male,4,4297,7,Yes,10,1,1,2,3,3,2,1
301,27,No,18,4,Male,3,13749,4,Yes,7,7,7,2,1,4,3,3
302,33,No,20,3,Male,2,6830,8,Yes,19,8,8,2,1,4,3,2
303,46,No,16,5,Male,1,4363,4,Yes,13,8,8,2,2,4,1,1
304,33,No,23,5,Male,2,10823,7,No,4,4,4,2,2,5,3,3
305,36,No,16,1,Male,1,3944,9,No,13,3,3,2,3,3,2,1
306,55,Yes,13,5,Female,4,3554,1,No,15,3,3,2,5,2,1,1
307,26,Yes,1,4,Female,1,3928,0,No,7,4,4,3,4,1,3,1
308,20,No,22,1,Male,1,8660,6,No,8,8,5,2,1,3,4,2
309,34,No,17,3,Male,4,7861,3,Yes,15,5,1,1,2,6,3,2
310,27,Yes,16,3,Female,4,11766,6,Yes,5,3,3,2,1,6,3,3
311,26,No,5,5,Male,4,9504,4,No,5,4,4,2,4,5,3,2
312,32,No,9,3,Male,2,1733,9,Yes,7,7,0,1,1,7,3,1
313,21,Yes,23,1,Male,3,2587,9,Yes,8,4,4,2,1,3,4,1
314,51,Yes,7,3,Male,1,1607,8,No,18,7,7,1,1,6,1,1
315,26,No,8,2,Female,4,5582,7,No,7,5,5,2,1,2,3,2
316,25,No,18,5,Female,2,6927,3,Yes,18,7,7,2,1,6,4,2
317,31,No,3,5,Male,3,1000,9,No,20,12,4,1,2,1,3,1
318,34,No,7,1,Female,3,13539,5,No,15,0,0,2,1,4,3,3
319,35,Yes,22,1,Male,3,6597,4,Yes,5,2,2,1,2,4,3,2
320,41,No,10,5,Male,1,9587,2,No,6,6,5,3,2,6,2,2
321,36,No,25,5,Male,3,3607,4,No,19,5,1,2,5,1,2,1
322,46,No,25,3,Male,2,13099,5,No,15,15,4,2,1,5,1,3
323,43,Yes,14,4,Female,1,1933,8,No,17,3,3,2,2,1,2,1
324,51,No,22,3,Male,2,8021,7,No,9,3,3,2,1,6,1,2
325,40,No,19,5,Male,3,3416,3,No,12,3,3,2,1,3,2,1
326,30,No,23,4,Female,3,19999,5,No,7,7,7,1,2,8,3,4
327,56,No,28,2,Female,2,12820,8,No,7,7,7,2,1,8,5,3
328,30,Yes,8,4,Female,1,5964,3,Yes,4,1,1,2,2,6,3,2
329,45,No,7,5,Male,3,11475,7,No,17,4,4,1,4,4,2,3
330,26,No,15,2,Female,4,2317,0,No,4,4,4,1,2,3,3,1
331,50,No,11,4,Male,1,18234,9,No,7,7,7,1,1,5,1,4
332,29,No,15,3,Female,2,11012,5,Yes,12,1,1,2,2,3,3,3
333,45,No,11,1,Male,4,8333,2,No,13,1,1,1,6,3,2,2
334,46,No,7,4,Male,1,4015,1,Yes,5,5,5,2,2,6,1,1
335,44,No,1,2,Male,2,14990,3,No,16,16,16,2,1,9,2,3
336,37,Yes,12,5,Female,3,10293,9,No,10,10,7,3,1,6,2,3
337,30,No,12,2,Female,4,7089,1,Yes,9,1,1,3,2,5,3,2
338,40,No,9,3,Male,2,14673,4,Yes,3,1,1,2,5,8,2,3
339,41,No,23,2,Male,2,4496,4,No,10,7,7,2,1,6,2,1
340,52,No,22,2,Male,4,15924,6,No,4,4,4,3,2,4,1,4
341,30,No,24,5,Female,2,4929,6,Yes,8,8,1,2,2,3,3,1
342,19,No,25,4,Female,4,4164,4,Yes,18,6,6,1,2,1,4,1
343,27,No,17,3,Male,3,12405,3,No,18,9,4,2,2,5,3,3
344,41,No,10,3,Female,3,6833,4,No,12,2,2,2,6,3,2,2
345,41,No,12,2,Female,3,5373,4,No,4,4,4,1,1,6,2,2
346,31,No,1,4,Female,4,3426,9,No,14,2,2,2,2,2,3,1
347,52,No,24,1,Male,3,3280,9,Yes,12,12,12,1,2,2,1,1
348,42,No,26,5,Male,3,13824,3,No,14,7,7,2,2,5,2,3
349,55,Yes,25,4,Male,2,3519,2,No,17,4,4,1,1,2,1,1
350,47,Yes,3,3,Female,2,2346,1,No,2,0,0,2,1,2,1,1
351,54,No,21,4,Male,3,18519,3,No,13,9,9,1,2,9,1,4
352,53,No,29,2,Male,1,2240,5,No,5,3,3,1,5,2,1,1
